NoteID,CanonicalWord,MatchKey,SenseLabel,Word,British,American,MeaningPrimary,MeaningRaw,FirstSource,FirstSourceBook,FirstGrade,FirstSemester,Sources,SourceBooks,Released,Tags
KV000001,book,book,书；书本,book,[bʊk],[bʊk],书；书本,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记",rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上
KV000002,ruler,ruler,尺子,ruler,[ˈruːlə(r)],[ˈruːlər],尺子,n. 尺；统治者；[测] 划线板，划线的人,rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上|rj_start1::4年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上
KV000003,pencil,pencil,铅笔,pencil,[ˈpens(ə)l],[ˈpensl],铅笔,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状",rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上|rj_start1::4年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上
KV000004,schoolbag,schoolbag,书包,schoolbag,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],书包,n. 书包,rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上|rj_start1::4年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上
KV000005,teacher,teacher,老师,teacher,[ˈtiːtʃə(r)],[ˈtiːtʃər],老师,n. 教师；导师,rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上|rj_start1::4年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上
KV000006,I,i,我,I,[aɪ],[aɪ],我,"n. 碘元素；英语字母I
pron. 我",rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上
KV000007,have,have,有,have,[həv],[həv; əv; hæv],有,"aux. 已经
vt. 有；让；拿；从事；允许",rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上
KV000008,a,a,一；一个,a,[ə],[ə; eɪ],一；一个,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. [物]安（ampere）",rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上
KV000009,an,an,一；一个,an,[ən],[ən; æn],一；一个,art. 一（在元音音素前）,rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上
KV000010,face,face,脸；面部,face,[feɪs],[feɪs],脸；面部,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖",rj_start1,1年级上,1,上,rj_start1,rj_start1::1年级上|rj_start1::3年级上,yes,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上
