SourceID,SourceEdition,SourceItemKey,NoteID,Decision,Status
rj_start1,klose-current,grade4-upper-u01-o001|pe,KV000285,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o002|job,KV000433,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o003|doctor,KV000425,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o004|farmer,KV000429,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o005|nurse,KV000423,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o006|office worker,KV000803,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u01-o007|factory worker,KV000804,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u01-o008|busy,KV000466,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o009|tired,KV000583,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o010|chore,KV000571,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o011|cook,KV000805,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-upper-u01-o012|clean,KV000806,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u01-o013|room,KV000299,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o014|look after,KV000807,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u01-o015|sweep,KV000808,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u01-o016|floor,KV000298,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o017|together,KV000615,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o018|people,KV000435,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u01-o019|child,KV000333,reuse-morphology,confirmed
rj_start1,klose-current,grade4-upper-u02-o001|his,KV000115,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u02-o002|strong,KV000809,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u02-o003|hair,KV000217,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u02-o004|also,KV000561,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u02-o005|kind,KV000810,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-upper-u02-o006|quiet,KV000522,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u02-o007|best,KV000811,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u02-o008|read,KV000812,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u02-o009|chinese,KV000282,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u02-o010|play,KV000813,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u02-o011|game,KV000814,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u02-o012|football,KV000815,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u02-o013|basketball,KV000345,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u02-o014|always,KV000363,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o001|afternoon,KV000231,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o002|there,KV000038,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o003|playground,KV000295,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o004|park,KV000131,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o005|over,KV000816,new-distinct-sense,confirmed
rj_start1,klose-current,grade4-upper-u03-o006|hospital,KV000132,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o007|shop,KV000411,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o008|toilet,KV000294,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o009|bus stop,KV000817,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u03-o010|library,KV000293,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o011|sport,KV000818,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u03-o012|walk,KV000819,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u03-o013|community,KV000820,new-learning-unit,confirmed
rj_start1,klose-current,grade4-upper-u03-o014|favourite,KV000177,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o015|place,KV000468,reuse-existing,confirmed
rj_start1,klose-current,grade4-upper-u03-o016|photo,KV000821,new-learning-unit,confirmed
