NoteID,SourceID,SourceEdition,SourceBook,Grade,Semester,Unit,SourceWord,SourceFile,SourceRow,Page
KV000001,rj_start1,,1年级上,1,上,,book,人教版一年级起点一年级上.xlsx,2,
KV000002,rj_start1,,1年级上,1,上,,ruler,人教版一年级起点一年级上.xlsx,3,
KV000002,rj_start1,,4年级上,4,上,,ruler,人教版一年级起点四年级上.xlsx,77,
KV000003,rj_start1,,1年级上,1,上,,pencil,人教版一年级起点一年级上.xlsx,4,
KV000003,rj_start1,,4年级上,4,上,,pencil,人教版一年级起点四年级上.xlsx,78,
KV000004,renjiao_start3,2024-revision,6年级上,6,上,4,schoolbag,klose-actual-grade5-6-vocabulary.csv,350,40
KV000004,rj_start1,,1年级上,1,上,,schoolbag,人教版一年级起点一年级上.xlsx,5,
KV000004,rj_start1,,4年级上,4,上,,schoolbag,人教版一年级起点四年级上.xlsx,79,
KV000005,rj_start1,,1年级上,1,上,,teacher,人教版一年级起点一年级上.xlsx,6,
KV000005,rj_start1,,4年级上,4,上,,teacher,人教版一年级起点四年级上.xlsx,117,
KV000006,rj_start1,,1年级上,1,上,,I,人教版一年级起点一年级上.xlsx,7,
KV000007,rj_start1,,1年级上,1,上,,have,人教版一年级起点一年级上.xlsx,8,
KV000008,rj_start1,,1年级上,1,上,,a,人教版一年级起点一年级上.xlsx,9,
KV000009,rj_start1,,1年级上,1,上,,an,人教版一年级起点一年级上.xlsx,10,
KV000010,rj_start1,,1年级上,1,上,,face,人教版一年级起点一年级上.xlsx,11,
KV000010,rj_start1,,3年级上,3,上,,face,人教版一年级起点三年级上.xlsx,31,
KV000011,rj_start1,,1年级上,1,上,,ear,人教版一年级起点一年级上.xlsx,12,
KV000011,rj_start1,,3年级上,3,上,,ear,人教版一年级起点三年级上.xlsx,35,
KV000012,rj_start1,,1年级上,1,上,,eye,人教版一年级起点一年级上.xlsx,13,
KV000012,rj_start1,,3年级上,3,上,,eye,人教版一年级起点三年级上.xlsx,32,
KV000013,rj_start1,,1年级上,1,上,,nose,人教版一年级起点一年级上.xlsx,14,
KV000013,rj_start1,,3年级上,3,上,,nose,人教版一年级起点三年级上.xlsx,33,
KV000014,rj_start1,,1年级上,1,上,,mouth,人教版一年级起点一年级上.xlsx,15,
KV000014,rj_start1,,3年级上,3,上,,mouth,人教版一年级起点三年级上.xlsx,34,
KV000015,rj_start1,,1年级上,1,上,,this,人教版一年级起点一年级上.xlsx,16,
KV000016,rj_start1,,1年级上,1,上,,is,人教版一年级起点一年级上.xlsx,17,
KV000017,rj_start1,,1年级上,1,上,,my,人教版一年级起点一年级上.xlsx,18,
KV000017,rj_start1,,3年级上,3,上,,my,人教版一年级起点三年级上.xlsx,2,
KV000018,rj_start1,,1年级上,1,上,,dog,人教版一年级起点一年级上.xlsx,19,
