Word,MeaningPrimary,FirstBook
play football,踢足球,2年级下
fly a kite,放风筝,2年级下
ride a bike,骑自行车,2年级下
make a model plane,做飞机模型,2年级下
swim,游泳,2年级下
make a snowman,堆雪人,2年级下
can't,不能；不会,2年级下
rainy,下雨的；多雨的,2年级下
cloudy,多云的,2年级下
snowy,下雪的；多雪的,2年级下
windy,有风的；多风的,2年级下
sunny,晴朗的；阳光充足的,2年级下
umbrella,雨伞,2年级下
weather,天气,2年级下
wow,哇；呀,2年级下
let's,让我们,2年级下
spring,春天,2年级下
summer,夏天,2年级下
autumn,秋天,2年级下
winter,冬天,2年级下
hot,热的,2年级下
warm,暖和的,2年级下
cool,凉爽的,2年级下
cold,寒冷的,2年级下
favourite,最喜欢的,2年级下
season,季节,2年级下
eleven,十一；十一个,2年级下
twelve,十二；十二个,2年级下
twenty,二十,2年级下
thirty,三十,2年级下
forty,四十,2年级下
fifty,五十,2年级下
thirteen,十三；十三个,2年级下
fourteen,十四；十四个,2年级下
fifteen,十五；十五个,2年级下
time,时间；时刻,2年级下
playtime,游戏时间；课间活动时间,2年级下
get up,起床,2年级下
eat breakfast,吃早饭,2年级下
go to school,去上学,2年级下
eat lunch,吃午饭,2年级下
go home,回家,2年级下
eat dinner,吃晚饭,2年级下
go to bed,上床睡觉,2年级下
when,什么时候,2年级下
every day,每天,2年级下
at,在……时刻,2年级下
Sunday,星期日,2年级下
Monday,星期一,2年级下
Tuesday,星期二,2年级下
Wednesday,星期三,2年级下
Thursday,星期四,2年级下
Friday,星期五,2年级下
Saturday,星期六,2年级下
today,今天,2年级下
