MatchKey,DisplayForms,Definitions,Books,OccurrenceCount,Contexts,RiskSignals,CandidateType,CandidateRoute,ProposedObjectDecision,ResolutionStatus,Confidence,TargetReference,ResolutionBasis,Rationale,KloseMergeAuthorized
a box of crayons,a box of crayons,无,5年级上,1,5年级上@r45: [a pair of scissors / pencil box / <a box of crayons> / please / only],missing-or-empty-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
a lot,a lot,n. 许多 adv. 常,5年级上,1,5年级上@r53: [love / how much / <a lot> / wonderful / cool],multi-pos-gloss|multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
a lot of,a lot of,det. 许多,5年级下,1,5年级下@r15: [headache / toothache / <a lot of> / sleepy / subject],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
a pair of scissors,a pair of scissors,一把剪刀;一副剪刀;一双剪刀,5年级上,1,5年级上@r43: [exercise book / pencil sharpener / <a pair of scissors> / pencil box / a box of crayons],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
across from,across from,na. 在...的正对面,4年级下,1,4年级下@r2: [<across from> / next to / between],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
active,active,n. 主动语态;积极分子 adj. 积极的;活跃的;主动的;有效的;现役的,5年级上,1,5年级上@r9: [friendly / helpful / <active> / popular / talk],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,pending-vocabulary-sense-review,pending,,,single-token-semantic-risk,Single-token surface has repeated-occurrence and/or broad semantic/POS signals; review target sense before identity minting.,no
after school,after school,na. 放学后,3年级下,1,3年级下@r26: [desk / blackboard / <after school> / play sports / draw pictures],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
age,age,"n. 年龄;时代;寿命,使用年限;阶段 vt. 使成熟;使变老,使上年纪 vi. 成熟;变老",3年级上,1,3年级上@r11: [class / grade / <age> / dear / body],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,pending-vocabulary-sense-review,pending,,,single-token-semantic-risk,Single-token surface has repeated-occurrence and/or broad semantic/POS signals; review target sense before identity minting.,no
all over,all over,adj. 满 n. 全花织物,5年级下,1,5年级下@r98: [started to study English / started to use a computer / <all over> / out of / into],multi-pos-gloss|multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
always,always,"adv. 永远,一直;总是;常常",4年级上|5年级下,2,4年级上@r25: [on the weekend / fun / <always> / step / paint] || 5年级下@r11: [before / dirty / <always> / stomachache / headache],multiple-occurrences,single-token-lexical-review,vocabulary-identity-review,pending-vocabulary-sense-review,pending,,,single-token-semantic-risk,Single-token surface has repeated-occurrence and/or broad semantic/POS signals; review target sense before identity minting.,no
american,American,"n. 美国人,美洲人;美国英语 adj. 美国的,美洲的;地道美国式的",6年级上,1,6年级上@r80: [poet / writer / <American> / French / Danish],multi-pos-gloss,single-token-lexical-review,vocabulary-identity-review,pending-vocabulary-sense-review,pending,,,single-token-semantic-risk,Single-token surface has repeated-occurrence and/or broad semantic/POS signals; review target sense before identity minting.,no
art gallery,art gallery,n. 美术馆;艺术展览馆,6年级下,1,6年级下@r12: [show ... around / Queen's Park / <art gallery> / public library / downtown],multiword-surface,multiword-lexical-review,vocabulary-vs-expression-review,pending-vocabulary-phrase-sense-review,pending,,,multiword-lexical-unit-review,Potential lexical phrase/proper-name learning unit; confirm that it is a stable Vocabulary unit rather than a compositional/source-only chunk.,no
at least,at least,na. 至少,6年级下,1,6年级下@r23: [idea / less / <at least> / talk about / hockey],multiword-surface|function-or-construction-phrase,multiword-routing-review,vocabulary-vs-expression-review,pending-vocabulary-vs-expression-review,pending,,,multiword-object-type-review,Phrase can be lexical Vocabulary or a communicative/grammatical Expression; route by learning objective before identity minting.,no
