SourceOccurrenceKey,SourceID,SourceBook,Grade,Semester,SourceRow,Word,MatchKey,British,American,Definition,SourceFile
beijing_start1|g1-upper|r002|star,beijing_start1,1年级上,1,上,2,star,star,[stɑː(r)],[stɑːr],"n. 星,恒星;明星;星形物 adj. 明星的,主角的;星形的 vt. 用星号标于;由...主演,由...担任主角 vi. 担任主角",北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r003|moon,beijing_start1,1年级上,1,上,3,moon,moon,[muːn],[muːn],n. 月亮;月球;月光;卫星 vi. 闲荡;出神 vt. 虚度,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r004|night,beijing_start1,1年级上,1,上,4,night,night,[naɪt],[naɪt],"n. 夜晚,晚上;黑暗,黑夜 adj. 夜晚的,夜间的",北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r005|lake,beijing_start1,1年级上,1,上,5,lake,lake,[leɪk],[leɪk],n. 湖;深红色颜料;胭脂红 vt. (使)血球溶解 vi. (使)血球溶解,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r006|house,beijing_start1,1年级上,1,上,6,house,house,[haʊs],[haʊs],n. 住宅;家庭;机构;议会;某种用途的建筑物 vt. 覆盖;给...房子住;把...储藏在房内 vi. 住,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r007|boat,beijing_start1,1年级上,1,上,7,boat,boat,[bəʊt],[boʊt],n. 小船;轮船 vi. 划船,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r008|key,beijing_start1,1年级上,1,上,8,key,key,[kiː],[kiː],n. (打字机等的)键;关键;钥匙 vt. 键入;锁上;调节...的音调;提供线索 vi. 使用钥匙 adj. 关键的,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r009|car,beijing_start1,1年级上,1,上,9,car,car,[kɑː(r)],[kɑːr],n. 汽车;车厢,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r010|gate,beijing_start1,1年级上,1,上,10,gate,gate,[ɡeɪt],[ɡeɪt],n. 大门;出入口;门道 vt. 给...装大门,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r011|kite,beijing_start1,1年级上,1,上,11,kite,kite,[kaɪt],[kaɪt],n. 风筝 vi. 使用空头支票;像风筝一样飞;轻快地移动 vt. 骗钱;涂改(支票),北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r012|girl,beijing_start1,1年级上,1,上,12,girl,girl,[ɡɜːl],[ɡɜːrl],"n. 女孩;姑娘,未婚女子;女职员,女演员;(男人的)女朋友 n. (捷)吉尔",北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r013|bike,beijing_start1,1年级上,1,上,13,bike,bike,[baɪk],[baɪk],n. 自行车;脚踏车 vi. 骑自行车(或摩托车),北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r014|uniform,beijing_start1,1年级上,1,上,14,uniform,uniform,[ˈjuːnɪfɔːm],[ˈjuːnɪfɔːrm],n. 制服 adj. 统一的;一致的;相同的;均衡的;始终如一的 vt. 使穿制服;使成一样,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r015|bag,beijing_start1,1年级上,1,上,15,bag,bag,[bæɡ],[bæɡ],"n. 袋;猎获物;(俚)一瓶啤酒 vt. 猎获;把...装入袋中;占据,私吞;使膨大 vi. 松垂",北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r016|cake,beijing_start1,1年级上,1,上,16,cake,cake,[keɪk],[keɪk],n. 蛋糕;块状物;利益总额 vt. 使结块 vi. 结成块状,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r017|dish,beijing_start1,1年级上,1,上,17,dish,dish,[dɪʃ],[dɪʃ],n. 盘;餐具;一盘食物;外貌有吸引力的人 vt. 盛于碟盘中;分发;使某人的希望破灭;说(某人)的闲话 vi. 成碟状;闲谈,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r018|cup,beijing_start1,1年级上,1,上,18,cup,cup,[kʌp],[kʌp],n. 杯子;奖杯;酒杯 vt. 使成杯状;为...拔火罐,北京版一年级起点一年级上.xlsx
beijing_start1|g1-upper|r019|nut,beijing_start1,1年级上,1,上,19,nut,nut,[nʌt],[nʌt],"n. 螺母,螺帽;坚果;难对付的人,难解的问题 vi. 采坚果",北京版一年级起点一年级上.xlsx
