Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
year,[jɪə(r)],[jɪr],年；岁,I am nine years old.,我九岁。,n. 年；年度；历年；年纪；一年的期间；某年级的学生,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
old,[əʊld],[oʊld],……岁的；年老的,How old are you?,你几岁？,"adj. 陈旧的，古老的；年老的
n. 古时",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
how old,,,几岁；多大,How old is your sister?,你妹妹几岁？,conj. 多少岁,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
class,[klɑːs],[klæs],班；班级,I am in Class One.,我在一班。,"n. 阶级；班级；种类；班；等级
adj. 极好的；很好的，优秀的，出色的
vt. 分类；把…分等级；把…归入某等级，把…看作（或分类、归类）；把…编入某一班级
vi. 属于…类（或等级），被列为某类（或某级）",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
grade,[ɡreɪd],[ɡreɪd],年级,I am in Grade Three.,我上三年级。,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
age,[eɪdʒ],[eɪdʒ],年龄,What is your age?,你多大年龄？,"n. 年龄；时代；寿命，使用年限；阶段
vt. 使成熟；使变老，使上年纪
vi. 成熟；变老",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
dear,[dɪə(r)],[dɪr],亲爱的,Dear Amy thank you.,亲爱的艾米，谢谢你。,"n. 亲爱的人
adj. 亲爱的；尊敬的；昂贵的
adv. 高价地；疼爱地
int. 哎呀",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
body,[ˈbɒdi],[ˈbɑːdi],身体,My body is strong.,我的身体很强壮。,"n. 身体；主体；大量；团体；主要部分
vt. 赋以形体",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
head,[hed],[hed],头；头部,My head hurts.,我的头疼。,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
hair,[heə(r)],[her],头发,Her hair is long.,她的头发很长。,"n. 头发；毛发；些微
adj. 毛发的；护理毛发的；用毛发制成的
vt. 除去…的毛发
vi. 生长毛发；形成毛状纤维",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
arm,[ɑːm],[ɑːrm],手臂,My arm hurts.,我的手臂疼。,"n. 手臂；武器；袖子；装备；部门
vt. 武装；备战
vi. 武装起来",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
hand,[hænd],[hænd],手,Wash your hands.,洗洗你的手。,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
leg,[leɡ],[leɡ],腿,My leg hurts.,我的腿疼。,n. 腿；支柱,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
foot,[fʊt],[fʊt],脚,My foot hurts.,我的脚疼。,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
feet,[fiːt],[fiːt],脚（foot的复数）,My feet are cold.,我的脚很冷。,n. 脚（foot的复数形式）；尺；韵脚,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
the matter,,,问题；怎么了,What's the matter?,怎么了？,有问题，有毛病,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
hurt,[hɜːt],[hɜːrt],疼；受伤,My leg hurts.,我的腿疼。,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦",3年级上|6年级上,rj_start1 grade::3 semester::上 appears::3年级上 appears::6年级上
help,[help],[help],帮助；帮忙,Can I help you?,我能帮你吗？,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
bad,[bæd],[bæd],坏的；糟糕的,That is too bad.,那太糟糕了。,"n. 坏事；坏人
adj. 坏的；严重的；劣质的
adv. 很，非常；坏地；邪恶地",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
bite,[baɪt],[baɪt],咬,The dog can bite.,狗会咬人。,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
tongue,[tʌŋ],[tʌŋ],舌头,Show me your tongue.,伸出你的舌头给我看。,"n. 舌头；语言
vt. 舔；斥责；用舌吹
vi. 说话；吹管乐器",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
kick,[kɪk],[kɪk],踢,Don't kick the ball here.,不要在这里踢球。,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
morning,[ˈmɔːnɪŋ],[ˈmɔːrnɪŋ],早晨；上午,Good morning teacher.,老师早上好。,n. 早晨；黎明；初期,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
afternoon,[ˌɑːftəˈnuːn],[ˌæftərˈnuːn],下午,Good afternoon teacher.,老师下午好。,n. 午后，下午,3年级上,rj_start1 grade::3 semester::上 appears::3年级上
summary,[ˈsʌməri],[ˈsʌməri],总结；概要,Let's read the summary.,我们来读一下总结。,"n. 概要，摘要，总结
adj. 简易的；扼要的",3年级上,rj_start1 grade::3 semester::上 appears::3年级上
