Word,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,MeaningRaw,Books,Tags
book,[bʊk],[bʊk],书；书本,This is a book.,这是一本书。,"n. 书籍；卷；帐簿；名册；工作簿
vt. 预订；登记",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
ruler,[ˈruːlə(r)],[ˈruːlər],尺子,This is a ruler.,这是一把尺子。,n. 尺；统治者；[测] 划线板，划线的人,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
pencil,[ˈpens(ə)l],[ˈpensl],铅笔,This is a pencil.,这是一支铅笔。,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状",1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
schoolbag,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],书包,This is my schoolbag.,这是我的书包。,n. 书包,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
teacher,[ˈtiːtʃə(r)],[ˈtiːtʃər],老师,This is my teacher.,这是我的老师。,n. 教师；导师,1年级上|4年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::4年级上
I,[aɪ],[aɪ],我,I like apples.,我喜欢苹果。,"n. 碘元素；英语字母I
pron. 我",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
have,[həv],[həv; əv; hæv],有,I have a book.,我有一本书。,"aux. 已经
vt. 有；让；拿；从事；允许",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
a,[ə],[ə; eɪ],一；一个,I have a book.,我有一本书。,"n. 字母A；第一流的；学业成绩达最高标准的评价符号
abbr. [物]安（ampere）",1年级上,rj_start1 grade::1 semester::上 appears::1年级上
an,[ən],[ən; æn],一；一个,I have an apple.,我有一个苹果。,art. 一（在元音音素前）,1年级上,rj_start1 grade::1 semester::上 appears::1年级上
face,[feɪs],[feɪs],脸；面部,This is my face.,这是我的脸。,"n. 脸；表面；面子；面容；外观；威信
vi. 向；朝
vt. 面对；面向；承认；抹盖",1年级上|3年级上,rj_start1 grade::1 semester::上 appears::1年级上 appears::3年级上
