OccurrenceID,ExpressionID,MappingStatus,Notes
EO000001,KE000001,confirmed,教材原句是 canonical pattern 的直接实例
EO000002,KE000002,confirmed,教材原句支持该 canonical pattern / communicative function
EO000003,KE000002,confirmed,教材原句支持该 canonical pattern / communicative function
EO000004,KE000002,confirmed,教材原句支持该 canonical pattern / communicative function
EO000005,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000006,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000007,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000008,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000009,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000010,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000011,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000012,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000013,KE000003,confirmed,教材原句支持该 canonical pattern / communicative function
EO000014,KE000004,confirmed,教材原句支持该 canonical pattern / communicative function
EO000015,KE000005,confirmed,教材原句支持该 canonical pattern / communicative function
EO000016,KE000006,confirmed,教材原句支持该 canonical pattern / communicative function
EO000017,KE000006,confirmed,教材原句支持该 canonical pattern / communicative function
EO000018,KE000006,confirmed,教材原句支持该 canonical pattern / communicative function
EO000019,KE000006,confirmed,教材原句支持该 canonical pattern / communicative function
EO000020,KE000007,confirmed,教材原句支持该 canonical pattern / communicative function
EO000021,KE000008,confirmed,教材原句支持该 canonical pattern / communicative function
EO000022,KE000009,confirmed,教材原句支持该 canonical pattern / communicative function
EO000023,KE000009,confirmed,教材原句支持该 canonical pattern / communicative function
EO000024,KE000010,confirmed,教材原句支持该 canonical pattern / communicative function
EO000025,KE000010,confirmed,教材原句支持该 canonical pattern / communicative function
EO000026,KE000011,confirmed,教材原句支持该 canonical pattern / communicative function
EO000027,KE000011,confirmed,教材原句支持该 canonical pattern / communicative function
EO000028,KE000011,confirmed,教材原句支持该 canonical pattern / communicative function
EO000029,KE000012,confirmed,教材原句支持该 canonical pattern / communicative function
EO000030,KE000013,confirmed,教材原句支持该 canonical pattern / communicative function
EO000031,KE000014,confirmed,教材原句支持该 canonical pattern / communicative function
EO000032,KE000014,confirmed,教材原句支持该 canonical pattern / communicative function
EO000033,KE000015,confirmed,教材原句支持该 canonical pattern / communicative function
EO000034,KE000016,confirmed,教材原句支持该 canonical pattern / communicative function
EO000035,KE000016,confirmed,教材原句支持该 canonical pattern / communicative function
EO000036,KE000017,confirmed,教材原句支持该 canonical pattern / communicative function
EO000037,KE000017,confirmed,教材原句支持该 canonical pattern / communicative function
EO000038,KE000017,confirmed,教材原句支持该 canonical pattern / communicative function
EO000039,KE000018,confirmed,教材原句支持该 canonical pattern / communicative function
EO000040,KE000019,confirmed,教材原句支持该 canonical pattern / communicative function
EO000041,KE000019,confirmed,教材原句支持该 canonical pattern / communicative function
EO000042,KE000020,confirmed,教材原句支持该 canonical pattern / communicative function
EO000043,KE000021,confirmed,教材原句支持该 canonical pattern / communicative function
EO000044,KE000022,confirmed,教材原句支持该 canonical pattern / communicative function
EO000045,KE000023,confirmed,教材原句支持该 canonical pattern / communicative function
EO000046,KE000024,confirmed,教材原句支持该 canonical pattern / communicative function
EO000032,KE000024,confirmed,教材原句支持该 canonical pattern / communicative function
EO000047,KE000024,confirmed,教材原句支持该 canonical pattern / communicative function
EO000048,KE000024,confirmed,教材原句支持该 canonical pattern / communicative function
EO000049,KE000025,confirmed,教材原句支持该 canonical pattern / communicative function
EO000050,KE000025,confirmed,教材原句支持该 canonical pattern / communicative function
