ExpressionID,CanonicalForm,FunctionKey,ExpressionType,SlotSchema,Status,CreatedFromCandidate,CreatedFromOccurrence
KE000001,What's [person]'s job?,ask_job,slot_frame,person,active,EC0021,EO000001
KE000002,There is a/an [singular noun].,state_existence_singular,slot_frame,singular_noun,active,EC0025,EO000002
KE000003,Let's [verb phrase].,suggest_shared_action,slot_frame,verb_phrase,active,EC0008,EO000005
KE000004,What's the weather like in [place]?,ask_weather,slot_frame,place,active,EC0029,EO000014
KE000005,Whose [noun] is this?,ask_ownership,slot_frame,noun,active,EC0031,EO000015
KE000006,Can I [verb phrase]?,request_permission,slot_frame,verb_phrase,active,EC0014,EO000016
KE000007,What time is it?,ask_time,fixed,,active,EC0033,EO000020
KE000008,Can you please [verb phrase]?,polite_request_action,slot_frame,verb_phrase,active,EC0036,EO000021
KE000009,Would you like [thing]?,offer_or_ask_want,slot_frame,thing,active,EC0015,EO000022
KE000010,What are these?,ask_plural_object_identity,fixed,,active,EC0017,EO000024
KE000011,[Person] is a/an [job].,state_job,slot_frame,person|job,active,EC0022,EO000026
KE000012,What's [person]'s name?,ask_other_name,slot_frame,person,active,EC0023,EO000029
KE000013,His/Her name is [name].,state_other_name,slot_frame,possessive_pronoun|name,active,EC0024,EO000030
KE000014,There are [plural noun].,state_existence_plural,slot_frame,plural_noun,active,EC0026,EO000031
KE000015,My favourite [category] is [item].,state_favourite,slot_frame,category|item,active,EC0027,EO000033
KE000016,[Person] is [verb-ing].,describe_current_action,slot_frame,person|verb_ing,active,EC0028,EO000034
KE000017,It's [weather description] [time/place].,state_weather,slot_frame,weather_description|time_place,active,EC0030,EO000036
KE000018,It's [person]'s.,state_ownership,slot_frame,person,active,EC0032,EO000039
KE000019,It's [time] o'clock.,state_clock_time,slot_frame,time,active,EC0034,EO000040
KE000020,It's time for [noun].,signal_time_for,slot_frame,noun,active,EC0035,EO000042
KE000021,It's time to [verb].,signal_time_to,slot_frame,verb,active,EC0035,EO000043
KE000022,"Don't [verb phrase], please.",polite_prohibition,slot_frame,verb_phrase,active,EC0037,EO000044
KE000023,Can I help you?,offer_help,fixed,,active,EC0038,EO000045
KE000024,I like [thing].,state_preference,slot_frame,thing,active,EC0041,EO000046
KE000025,They're [plural noun].,identify_plural_objects,slot_frame,plural_noun,active,EC0043,EO000049
KE000026,Who's your [relationship]?,ask_relationship_person,slot_frame,relationship,active,EC0049,EO000051
