SourceOccurrenceKey,CandidateFingerprint,Grade,Semester,Unit,Order,RawExpression,Translation,Page,StablePatternMatches
grade5-upper-u01-o001,01b44d40aaa48bda0f04c4821e567c07c5f2c5e85b66dd24d3cd40128a74d061,5,上,1,1,What's he like?,他什么样？,,KE000045
grade5-upper-u01-o002,f66866126828eba3823e3ab7eec7b737944c43fe351add7948716e77b3d3bcf2,5,上,1,2,He's tall and strong.,他又高又壮。,,KE000058
grade5-upper-u01-o003,aa6145c74b1a257e765f273b7a24789f25739100bc5c441b98c2e89b3c5eefe8,5,上,1,3,Is he good at football?,他擅长踢足球吗？,,
grade5-upper-u01-o004,2da5e4f78ae459867102067f973d0ca6fb4be6866e16afa2ccf1e7a1c12e4f38,5,上,1,4,"Yes, I think he is.",是的，我想他擅长。,,KE000058
grade5-upper-u01-o005,f9cb0085ea573eea1ad62040c4a88a8ac2f0704880199fc15ed6e7c2417742a1,5,上,1,5,What can you do for the festival?,你能为科学艺术节做什么？,,
grade5-upper-u01-o006,2533be8ac398d0c4724ae449e38fad0b725482b13cc29c0d00ceb978c742bd92,5,上,1,6,I can make a robot.,我能制作机器人。,,KE000058
grade5-upper-u01-o007,4bc29f525faa514e69ff2d253bf61d5060caee4b046b18b5e90a5f85ff8f4ecf,5,上,1,7,"Can you make robots, Sarah?",萨拉，你能制作机器人吗？,,
grade5-upper-u01-o008,b6352046301fa20a3ec8d14638b76d320903b5156b45dadc0f25f133e21ba41a,5,上,1,8,"No, I can't.",不，我不能。,,
grade5-upper-u02-o001,b4ef6c20035eb210836eeadc38779782a9007ec6fb8ac38eca1bf6c0d7a93667,5,上,2,1,"Hi, Mike. You look sad. What's the matter?",嗨，迈克。你看起来不开心。怎么回事？,,
grade5-upper-u02-o002,e0585a98cf59df82ca1cf0cfad29fa76fddb47ba014f784756f44598bb834c37,5,上,2,2,It's about our school project.,是关于我们学校的项目。,,KE000017 | KE000057 | KE000058 | KE000059
grade5-upper-u02-o003,3b80ba3ccaf8743367295e827e0da145ff6bb84300ffae3ab091cd4951d35971,5,上,2,3,And we have to finish our project by Monday.,并且我们得在星期一之前完成项目。,,KE000058
grade5-upper-u02-o004,974650b67a025c9b181f5d920048aff7b71771908140b6b5f963724ba96b4123,5,上,2,4,So you don't agree with each other?,所以你俩意见不一致？,,
grade5-upper-u02-o005,cf90499a107765198f7a94fa021fba74d0096b7b6b29e176f8887a945d1d4d83,5,上,2,5,Why not do both?,为什么不两个活动都做呢？,,
grade5-upper-u02-o006,a1c71ed48ad7bc1f874f519e52855eeccb288a1145f4b9ed078c4be6c1139c22,5,上,2,6,It's important to listen to each other.,听取彼此的想法很重要。,,KE000017 | KE000057 | KE000058 | KE000059
grade5-upper-u02-o007,e6ec6528c657b2f79b965abaabcc2a689bd8cf86cbbf5e613a0f1cffc9024b37,5,上,2,7,"Yes, Miss White. I need to talk to Mike.",是的，怀特老师。我需要和迈克谈谈。,,KE000058
