NoteID,CanonicalWord,Word,PromptHint,British,American,MeaningPrimary,ExampleSentence,ExampleTranslation,LearnerLevel,LearningOrder,Sources,SourceBooks,Tags
KV000001,book,book,,[bʊk],[bʊk],书；书本,I read a book before bed.,我睡前读一本书。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000002,ruler,ruler,,[ˈruːlə(r)],[ˈruːlər],尺子,I use a ruler to draw a line.,我用尺子画一条线。,4,,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000003,pencil,pencil,,[ˈpens(ə)l],[ˈpensl],铅笔,I have a blue pencil in my schoolbag.,我的书包里有一支蓝色铅笔。,4,,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000004,schoolbag,schoolbag,,[ˈskuːlbæɡ],[ˈskuːlˌbæɡ],书包,My books are in my schoolbag.,我的书在书包里。,4,,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000005,teacher,teacher,,[ˈtiːtʃə(r)],[ˈtiːtʃər],老师,Our teacher is reading an English book.,我们的老师正在读一本英语书。,4,,rj_start1,rj_start1::1年级上|rj_start1::4年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::4 source::rj_start1::grade::4::上 stage::library
KV000006,I,I,,[aɪ],[aɪ],我,I usually walk to school with Dad.,我通常和爸爸一起走路上学。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000007,have,have,,[həv],[həv; əv; hæv],有,We have English class on Monday.,我们星期一有英语课。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000008,a,a,,[ə],[ə; eɪ],一；一个,I saw a bird in the tree.,我看到树上有一只鸟。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000009,an,an,,[ən],[ən; æn],一；一个,She has an orange in her bag.,她的包里有一个橙子。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000010,face,face,,[feɪs],[feɪs],脸；面部,My face is red after PE class.,体育课后我的脸红了。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000011,ear,ear,,[ɪə(r)],[ɪr],耳朵,My left ear hurts today.,我今天左耳疼。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000012,eye,eye,,[aɪ],[aɪ],眼睛,Close your eyes for a minute.,闭上眼睛一分钟。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000013,nose,nose,,[nəʊz],[noʊz],鼻子,My nose is cold in winter.,冬天我的鼻子很冷。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000014,mouth,mouth,,[maʊθ],[maʊθ],嘴；口,Please open your mouth.,请张开嘴。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000015,this,this,,[ðɪs],[ðɪs],这；这个,This book is more interesting than that one.,这本书比那本更有趣。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000016,is,is,,[ɪz],[ɪz],是,My classroom is on the second floor.,我的教室在二楼。,4,,rj_start1,rj_start1::1年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 stage::library
KV000017,my,my,,[maɪ],[maɪ],我的,My sister and I go to school by bus.,我和妹妹坐公交车上学。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000018,dog,dog,,[dɒɡ],[dɔːɡ],狗,The dog is playing with a ball outside.,那只狗正在外面玩球。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000019,bird,bird,,[bɜːd],[bɜːrd],鸟,A small bird is sitting in the tree.,一只小鸟正停在树上。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上|rj_start1::6年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 source::rj_start1::grade::6 source::rj_start1::grade::6::上 stage::library
KV000020,tiger,tiger,,[ˈtaɪɡə(r)],[ˈtaɪɡər],老虎,We saw a tiger at the zoo last Sunday.,上星期日我们在动物园看见了一只老虎。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000021,monkey,monkey,,[ˈmʌŋki],[ˈmʌŋki],猴子,The monkey climbed up the tree quickly.,那只猴子很快爬上了树。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
KV000022,cat,cat,,[kæt],[kæt],猫,My cat sleeps under the chair every afternoon.,我的猫每天下午都睡在椅子下面。,4,,rj_start1,rj_start1::1年级上|rj_start1::3年级上,learner::klose::level::4 learner::klose::released source::rj_start1 source::rj_start1::grade::1 source::rj_start1::grade::1::上 source::rj_start1::grade::3 source::rj_start1::grade::3::上 stage::library
